lookback,rebalance_freq,signal,alloc_params,dd_penalty,total_return,ann_return,sharpe,max_dd,calmar,sortino,score
30,15,calmar,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8604054412336564,0.23494952217099385,1.0234715809834072,-0.310723155800844,0.7561377715930689,1.0925024698768466,1.0215506307056152
30,15,calmar,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8591488826839893,0.23484056961932098,1.0237962536088294,-0.31029366630646205,0.7568332439600874,1.0928696883672957,1.0210682025771631
30,15,calmar,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8577662065699903,0.23472063754752992,1.0241131413694577,-0.3098419597238723,0.7575495268013895,1.093226297674757,1.020539851062172
10,20,sharpe,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8517085762226224,0.23419465689408314,1.0449072079075425,-0.29535315067753565,0.792930931759268,1.107299848285574,1.0148442561375643
10,20,sharpe,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8516113503375249,0.23418620754686303,1.0448775266868868,-0.29535315067753565,0.7929023241520201,1.1072637625198338,1.0148146238197038
10,20,sharpe,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8515128669108232,0.23417764867914892,1.0448473468449795,-0.29535315067753565,0.7928733457327796,1.1072270831942244,1.0147845628878018
10,20,sortino,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8352162780886339,0.2327581010818156,1.0050943885547474,-0.3150002973546857,0.7389138856291128,1.0620099743216773,1.0134276437595806
30,15,calmar,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8342872288916174,0.2326769780685829,1.0200086412081943,-0.30789830961323816,0.7556942121699676,1.0868792350090217,1.0128777139067697
30,15,calmar,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8336327662061649,0.2326198187283961,1.0202733583860064,-0.30762824753066587,0.7561718178805711,1.0871849058838272,1.0126232789609673
30,15,calmar,"{'style': 'softmax', 'k': 5.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8332596892813267,0.2325872302837002,1.0206794690477092,-0.30735452174000044,0.7567392254377172,1.086686260907929,1.012473301228686
20,20,sortino,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8364378648694735,0.2328647356586797,1.0305158699169825,-0.30227340336656794,0.7703778280238094,1.0913863609147327,1.0124577316659216
10,20,sortino,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8320505218371692,0.23248158536349206,1.003795844552536,-0.3150002973546857,0.7380360588084164,1.0603922784827884,1.0123315264032327
10,20,composite_all,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8435379831931615,0.23348379257145924,1.0402987066891383,-0.29535315067753565,0.7905241035371045,1.1048643413382813,1.0115183966577868
10,20,composite_all,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8435305371204813,0.23348314399832648,1.0402963288055538,-0.29535315067753565,0.7905219076129733,1.1048611869360219,1.0115160858594237
10,20,composite_all,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.843523087502828,0.23348249511505847,1.0402939497110935,-0.29535315067753565,0.7905197106387932,1.1048580310223106,1.0115137739297753
20,20,sortino,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8333995996502073,0.23259945192204823,1.0281944441196618,-0.3028221680930083,0.7681057358044892,1.0885113895644225,1.0114655605341267
10,20,composite_sortino_1,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.843160528639685,0.2334509135460936,1.0401780684182664,-0.29535315067753565,0.7904127824823705,1.1047044269383062,1.0114012190208803
10,20,composite_sortino_1,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.8431529134647557,0.233450250173304,1.0401756324501619,-0.29535315067753565,0.7904105364498984,1.1047012003969914,1.0113988541301808
10,20,composite_sortino_1,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8431452951007072,0.2334495865212829,1.0401731953795375,-0.29535315067753565,0.7904082894720107,1.104697972494323,1.0113964882165423
10,20,composite_sm_0.5,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",2.0,1.8414466754137706,0.23330158062212325,1.040352333207314,-0.29535315067753565,0.7899071744718525,1.1025807572346749,1.0111545546550136
10,20,sortino,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",0.0,1.8286119420642368,0.23218095961414886,1.0023829489715443,-0.3150002973546857,0.7370816922813873,1.0586335534330855,1.0111399802670413
10,20,composite_sm_0.5,"{'style': 'softmax', 'k': 10.0, 'clip_lo': 0.1, 'clip_hi': 0.9}",1.0,1.841107576412893,0.23327202542808756,1.0401933236420497,-0.29535315067753565,0.7898071071694818,1.1024121869876922,1.0110292722783896
